company_name,cik,accession,form_type,file_date,period,file_num,industry_group,offering_amount,sold_amount,keywords_found,linkedin,website,email
Pranos Inc  (CIK 0001855821),1855821,0001855821-26-000001,D,2026-04-20,,020-28693,,50000.0,,[],,https://pranos.ai,support@pranos.ai
"Serenity for Life, LLC  (CIK 0002098936)",2098936,0002098936-26-000001,D,2026-04-20,,021-581019,Other Health Care,1500000.0,0.0,[],https://www.linkedin.com/company/serenity-for-life-llc,https://www.serenityforlife.org/,info@serenityforlife.org
"Siftwell Analytics, Inc.  (CIK 0001926185)",1926185,0001926185-26-000003,D,2026-04-21,,021-581323,Other Technology,104025.0,104025.0,[],https://www.linkedin.com/company/siftwell,https://siftwell.ai/,
BFREE Africa Inc.  (CIK 0001946090),1946090,0001946090-26-000001,D,2026-04-21,,021-581220,Other Technology,3154499.0,3154499.0,[],https://www.linkedin.com/company/bfree-africa-inc,https://www.bfree.africa,hello@bfree.africa
Harmony Turbines Inc  (CIK 0001822078),1822078,0001822078-26-000005,D,2026-04-21,,020-36402,,50000.0,,[],https://www.linkedin.com/company/harmonyturbines,https://harmonyturbines.com/,support@HarmonyTurbines.com
"PHIN SECURITY, INC.  (CIK 0002018716)",2018716,0002018716-26-000004,D,2026-04-21,,021-581324,Other Technology,5974999.0,5974999.0,[],https://www.linkedin.com/company/phin-security,https://www.phinsecurity.com/,support@phinsecurity.com
"Pearl Diagnostics, Inc.  (CIK 0001922830)",1922830,0001922830-26-000003,D,2026-04-21,,021-581278,Biotechnology,11150000.0,11150000.0,[],https://www.linkedin.com/company/pearl-diagnostics,https://pearldx.com,info@pearldx.com
"goBU, Inc.  (CIK 0002125346)",2125346,0002125346-26-000001,D,2026-04-21,,021-581189,Other Health Care,1500000.0,600000.0,[],https://www.linkedin.com/company/gobuai,https://gobu.ai/,
SATO Technologies Corp.  (CIK 0002129108),2129108,0002129108-26-000001,D,2026-04-21,,021-581273,Computers,,519464.0,[],https://ca.linkedin.com/company/satocorp,https://www.bysato.com/,j-d@bysato.com
Avivomed Inc.  (CIK 0001893991),1893991,0001893991-26-000003,D,2026-04-21,,021-581292,Biotechnology,12000000.0,5000000.0,[],https://www.linkedin.com/company/avivomed/,https://avivomed.com/,info@avivomed.com
"G2Mint, Inc.  (CIK 0001979313)",1979313,0001979313-26-000003,D,2026-04-21,,021-555507,Other Technology,6100000.0,2100000.0,[],https://www.linkedin.com/company/g2mint,https://g2mint.com/,info@g2mint.com
"Loki Robotics, Inc.  (CIK 0002130373)",2130373,0002130373-26-000001,D,2026-04-21,,021-581222,Other Technology,11824995.0,11824995.0,[],https://www.linkedin.com/company/loki-robotics,https://lokirobotics.co/,
"Quel Health, Inc.  (CIK 0002128803)",2128803,0002128803-26-000002,D,2026-04-21,,021-581215,Other Health Care,,55000.0,[],,https://www.quellohealth.com/,info@quellohealth.com
"Langan Engineering, Environmental, Surveying, Landscape Architecture & Geology, D.P.C.  (CIK 0002006529)",2006529,0002006529-26-000003,D,2026-04-21,,021-581336,Environmental Services,4850125.0,4850125.0,[],https://www.linkedin.com/company/langan-engineering-environmental-services,http://www.langan.com,info@langan.com
"Slips Technologies, Inc.  (CIK 0002094511)",2094511,0002094511-26-000001,D,2026-04-21,,021-581313,Other Technology,4000000.0,700000.0,[],,https://www.slipstechnologies.com/,info@slipstechnologies.com
"CargoSense, Inc.  (CIK 0001651345)",1651345,0001651345-26-000004,D,2026-04-21,,021-581263,Other Technology,12611861.0,5611861.0,[],https://www.linkedin.com/company/cargosense,https://www.cargosense.com,info@cargosense.com
"Real Vault, Inc.  (CIK 0002123647)",2123647,0002123647-26-000002,D,2026-04-21,,021-581206,Other Technology,12090494.0,12090494.0,[],,https://vaultinc.co.uk,enquiries@vaultinc.co.uk
"Emission Free Generators, Inc.  (CIK 0001927507)",1927507,0001927507-26-000001,D,2026-04-21,,020-34143,,50000.0,,[],,https://emissionfreegenerators.com,info@emissionfreegenerators.com
"IQ121, Inc.  (CIK 0002112898)",2112898,0002112898-26-000001,D,2026-04-21,,020-37013,,100000.0,,[],,https://iq121.com/,support@iq121.com
"Autonomous Cyber, Inc.  (CIK 0002065345)",2065345,0002065345-26-000001,D,2026-04-21,,021-581294,Other Technology,6000000.0,2550000.0,[],https://www.linkedin.com/company/autonomous-cyber,https://www.acyber.com/,jobs@autonomouscyberco.com
Nivalon Medical Technologies Inc.  (CIK 0002125125),2125125,0002125125-26-000001,D,2026-04-21,,021-581279,Other Technology,1000000.0,150000.0,[],,https://www.nivalonmedical.com/,contactus@nivalonmedical.com
DIASPO TECHNOLOGIES INC  (CIK 0002131168),2131168,0002131168-26-000002,D,2026-04-22,,021-581354,Retailing,125000.0,85000.0,[],https://www.linkedin.com/company/diaspo,https://www.diaspo.io,service-client@diaspo.io
"Qb Enterprises, LLC  (CIK 0002130427)",2130427,0002130427-26-000001,D,2026-04-22,,021-581508,Other Health Care,4000000.0,0.0,[],,https://www.qbenterprisellc.net/,
"Lorica Security, Inc.  (CIK 0002081254)",2081254,0002081254-26-000003,D,2026-04-22,,021-581510,Other Technology,,150000.0,[],,https://www.loricasecurity.com/,info@loricasecurity.com
"Symmatrics, Inc.  (CIK 0002032081)",2032081,0002032081-26-000003,D,2026-04-22,,021-535675,Other Technology,17659318.0,11748971.0,[],https://www.linkedin.com/company/symmatrics,https://www.symmatrics.com,support@symmatrics.com
"NovaSolix, Inc.  (CIK 0001643656)",1643656,0001643656-26-000004,D,2026-04-22,,021-530319,Other Technology,9000000.0,3935000.0,[],https://www.linkedin.com/company/novasolix,https://www.novasolix.com/,info@novasolix.com
"GO Fitness, Inc.  (CIK 0001819585)",1819585,0001819585-26-000003,D,2026-04-22,,021-581357,Retailing,87128.0,87128.0,[],,https://gosleeves.com,support@gosleeves.com
"APX Security, Inc.  (CIK 0002124821)",2124821,0002124821-26-000001,D,2026-04-22,,021-581459,Other Technology,500000.0,375000.0,[],,https://www.apxsecuritygroup.com/,Office@APXSecurityGroup.com
Visor Health Inc.  (CIK 0002087088),2087088,0002087088-26-000003,D,2026-04-22,,021-581420,Biotechnology,3000000.0,0.0,[],https://www.linkedin.com/company/visor-health,https://visor.health/,support@visor.health
RefluxRaft Corp  (CIK 0002129778),2129778,0002129778-26-000001,D,2026-04-22,,021-581492,Retailing,345000.0,0.0,[],https://www.linkedin.com/company/refluxraft,https://refluxraft.com/,hello@refluxraft.com
"Tetrous, Inc.  (CIK 0002002357)",2002357,0002002357-26-000001,D,2026-04-22,,021-581356,Biotechnology,4000000.0,1741024.0,[],https://www.linkedin.com/company/tetrous,https://tetrous.com,bpatt@tetrous.com
"Foundation Alloy Technology Explorations, Inc.  (CIK 0001930073)",1930073,0001930073-26-000003,D,2026-04-22,,021-581408,Other Technology,21999999.0,19999988.0,[],https://www.linkedin.com/company/foundationalloy,https://www.foundationalloy.com/,contact@foundationalloy.com
Moodsonic Technologies Inc  (CIK 0002086596),2086596,0002086596-26-000001,D,2026-04-22,,021-581402,Other Technology,,330000.0,[],,https://www.moodsonic.com/,info@moodsonic.com
Langan Management Aggregator LLC  (CIK 0002006524),2006524,0002006524-26-000004,D,2026-04-22,,021-581340,Environmental Services,4389660.0,4389660.0,[],,https://www.langan.com/,
Corami Biotech Inc.  (CIK 0002042505),2042505,0002042505-26-000003,D,2026-04-22,,021-581503,Biotechnology,1000000.0,230000.0,[],https://www.linkedin.com/company/coramibio,https://www.coramibio.com/,info@coramibio.com
HOSTED AI INC  (CIK 0002128700),2128700,0002128700-26-000001,D,2026-04-22,,021-581452,Other Technology,18673998.0,18673998.0,[],https://www.linkedin.com/company/hostedai,https://hosted.ai,info@hosted.ai
"Contractor Plus, Inc.  (CIK 0001862675)",1862675,0001862675-26-000004,D,2026-04-22,,021-517561,Other Technology,5000000.0,105000.0,[],https://www.linkedin.com/company/contractor%27s-plus-inc.,http://www.contractorsplusinc.com,info@contractorsplusinc.com
"Kairos Water, Inc.  (CIK 0002131374)",2131374,0002131374-26-000001,D,2026-04-22,,021-581464,Other Technology,4999995.0,1599960.0,[],https://www.linkedin.com/company/kairoswater,https://www.kairoswater.io,info@kairoswater.io
"SUNation Energy, Inc.  (SUNE)  (CIK 0000022701)",22701,0000022701-26-000004,D,2026-04-22,,021-581403,Other Energy,1200000.0,1200000.0,[],https://www.linkedin.com/company/sunation-energy,http://sunation.com,info@sunation.com
"Outhad AI, Inc.  (CIK 0002125104)",2125104,0002125104-26-000001,D,2026-04-22,,021-581376,Other Technology,210000.0,210000.0,[],,https://outhad.com,
"Smartweave, Inc.  (CIK 0002095527)",2095527,0002095527-26-000002,D,2026-04-22,,020-36698,,51000.0,,[],https://www.linkedin.com/company/smartweaveinc,https://www.smartweave.xyz,hello@smartweave.xyz
orgn.dev Inc  (CIK 0002131378),2131378,0002131378-26-000001,D,2026-04-22,,021-581509,Other Technology,1500000.0,1500000.0,[],,https://orgn.dev/,wahid@input.global
"RAY ALLEN, INC.  (CIK 0002129373)",2129373,0002129373-26-000001,D,2026-04-22,,021-581428,Other Technology,5870000.0,4000000.0,[],https://www.linkedin.com/company/ray-allen-inc/,https://www.rayalleninc.com,contact@raioam.com
"InfiniCell Energy, Inc.  (CIK 0002082162)",2082162,0002082162-26-000002,D,2026-04-23,,020-36285,,50000.0,,[],https://www.linkedin.com/company/infinicell,,
"Aaru, Inc.  (CIK 0002111770)",2111770,0002111770-26-000001,D,2026-04-23,,021-581522,Other Technology,7960000.0,7960000.0,[],https://www.linkedin.com/company/aaru-ai,https://aaru.com,info@aaru.com
"FINFUEGO, INC.  (CIK 0002123939)",2123939,0002123939-26-000002,D,2026-04-23,,021-581634,Other Technology,530000.0,495000.0,[],https://www.linkedin.com/company/finfuego,https://finfuego.com,
"Adela, Inc.  (CIK 0001852167)",1852167,0001852167-26-000001,D,2026-04-23,,021-581637,Biotechnology,5000000.0,5000000.0,[],https://www.linkedin.com/company/adela-inc,https://www.adelabio.com,info@adelabio.com
Rentberry Inc.  (CIK 0001657493),1657493,0001657493-26-000005,D,2026-04-23,,020-37021,,74999.0,,[],https://www.linkedin.com/company/rentberry,https://rentberry.com,support@rentberry.com
"Gameway, Inc.  (CIK 0001731539)",1731539,0001731539-26-000002,D,2026-04-23,,021-517702,Other Technology,2000010.0,1114370.0,[],https://www.linkedin.com/company/airport-gameway,http://www.gameway.gg,contact@airportgameway.com
"Focused Cryo, Inc  (CIK 0001835523)",1835523,0001835523-26-000003,D,2026-04-23,,021-581628,Other Health Care,10000000.0,8873601.0,[],https://www.linkedin.com/company/focusedcryo,https://www.focusedcryo.com/,info@focusedcryo.com
Helio Corp /FL/  (HLEO)  (CIK 0001953988),1953988,0001953988-26-000001,D,2026-04-23,,021-581632,Other Technology,220000.0,218000.0,[],,http://helio.space,
Special Leaf llc  (CIK 0002125927),2125927,0002125927-26-000001,D,2026-04-23,,020-37020,,50000.0,,[],,https://www.specialleaf.com,chris@specialleaf.com
Immersed Inc.  (CIK 0001817417),1817417,0001817417-26-000005,D,2026-04-23,,021-581664,Other Technology,,150000.0,[],https://www.linkedin.com/company/immersed,https://invest.immersed.com,
"Selva Nexus, Inc.  (CIK 0002130905)",2130905,0002130905-26-000001,D,2026-04-23,,021-581589,Biotechnology,750000.0,50000.0,[],,https://www.selvallc.com/,contact@sea.selvallc.com
Splint Factory Corp.  (CIK 0002131418),2131418,0002131418-26-000001,D,2026-04-23,,021-581591,Other Technology,500000.0,50000.0,[],,https://splintfactory.com,
Treelink Technologies  (CIK 0002094225),2094225,0002094225-26-000001,D,2026-04-23,,020-36567,,50000.0,,[],https://www.linkedin.com/company/truelink-technologies,https://www.truelinktechnologies.com,info@truelinktechnologies.com
"Platform Golf, Ltd.  (CIK 0002128177)",2128177,0002128177-26-000001,D,2026-04-23,,021-581666,Other Technology,7500000.0,7500000.0,[],https://www.linkedin.com/company/platformgolfbrand,https://platformgolf.com/,info@platformgolf.com
"ObscureCore, Inc.  (CIK 0002131193)",2131193,0002131193-26-000001,D,2026-04-23,,021-581679,Other Technology,,200000.0,[],,https://obscurecore.com,
"Funk Harbor Spirits, Inc.  (CIK 0002090076)",2090076,0002090076-26-000001,D,2026-04-23,,020-37022,,75000.0,,[],,https://funkharborspirits.com/,orders@funkharborspirits.com
Automated Water Machines Inc d/b/a Kadeya  (CIK 0002090508),2090508,0002090508-26-000002,D,2026-04-23,,021-565707,Retailing,9557027.0,9132027.0,[],https://www.linkedin.com/company/kadeya,https://www.kadeya.com/,hello@kadeya.com
InfraSight Software Corp  (CIK 0001731695),1731695,0001731695-26-000002,D,2026-04-23,,021-546676,Other Technology,2500000.0,1035000.0,[],https://www.linkedin.com/company/infrasight-software,https://www.infrasight.software/,info@infrasightsoftware.com
Evress Inc.  (CIK 0002129507),2129507,0002129507-26-000001,D,2026-04-23,,021-581678,Other Technology,11661749.0,7260214.0,[],https://www.linkedin.com/company/evress,https://evress.com/,
"everee, inc.  (CIK 0001775687)",1775687,0001775687-26-000003,D,2026-04-23,,021-581649,Other Technology,7499997.0,4499984.0,[],https://www.linkedin.com/company/everee-pay,https://www.everee.com,support@everee.com
"Matrix Analytics, Inc.  (CIK 0001655242)",1655242,0001655242-26-000003,D,2026-04-23,,021-581665,Other Health Care,1999998.0,1999998.0,[],https://www.linkedin.com/company/matrix-analytics-corporation,https://portal.matrixanalytics.co/MATRiX/,info@matrixanalytics.co
"Greensea Systems, Inc.  (CIK 0002073388)",2073388,0002073388-26-000001,D,2026-04-23,,021-549249,Other Technology,18701909.0,18701909.0,[],https://www.linkedin.com/company/greensea-systems-inc,https://www.greenseainc.com,info@greenseainc.com
Ai.Fish Inc.  (CIK 0002130431),2130431,0002130431-26-000001,D,2026-04-24,,021-581845,Other Technology,2500000.0,600000.0,[],https://www.linkedin.com/company/ai-fish,https://www.ai.fish/,contact@ai.fish
InfiniMind Inc.  (CIK 0002131838),2131838,0002131838-26-000001,D,2026-04-24,,021-581851,Other Technology,5803850.0,5803850.0,[],https://jp.linkedin.com/company/infinimind-inc,https://infinimind.io,
"Lani Quantum Solutions, Inc.  (CIK 0002128671)",2128671,0002128671-26-000001,D,2026-04-24,,021-581709,Computers,10000000.0,70000.0,[],,https://lani.run,
Intelligent Games LLC  (CIK 0002130242),2130242,0002130242-26-000001,D,2026-04-24,,021-581847,Other Technology,5000000.0,100000.0,[],,https://www.intelligent-games.net/,
Citra Space Corp  (CIK 0002130482),2130482,0002130482-26-000001,D,2026-04-24,,021-581827,Other Technology,14999969.0,11494971.0,[],https://www.linkedin.com/company/citra-space,https://citra.space,support@citra.space
Moon Five Technologies  (CIK 0002127289),2127289,0002127289-26-000001,D,2026-04-24,,020-37024,,110000.0,,[],https://www.linkedin.com/company/moon-five,https://www.moonfive.tech,info@moonfive.tech
Onnyx Systems Corp  (CIK 0002130538),2130538,0002130538-26-000002,D,2026-04-24,,021-581703,Other Technology,1500000.0,485000.0,[],https://www.linkedin.com/company/onnyx-systems,https://www.onnyx.systems/,contact@onnyx.systems
"Concept Medical, Inc.  (CIK 0002108675)",2108675,0002108675-26-000002,D,2026-04-24,,021-581716,Other Health Care,75000.0,75000.0,[],https://www.linkedin.com/company/conceptmedicals,https://www.conceptmedical.com/,contact@conceptmedical.com
OpenOrigins Inc  (CIK 0002131720),2131720,0002131720-26-000001,D,2026-04-24,,021-581723,Other Technology,17200000.0,17200000.0,[],https://www.linkedin.com/company/openorigins,https://openorigins.com/,hi@openorigins.com
UTIX INC  (CIK 0002082165),2082165,0002082165-26-000001,D,2026-04-24,,020-36310,,50000.0,,[],https://www.linkedin.com/company/utx-inc,http://U-T-X.com,
Philosophers Stoneground Inc  (CIK 0001918689),1918689,0001918689-26-000004,D,2026-04-24,,020-35615,,50000.0,,[],https://www.linkedin.com/company/philosopherfoods,https://www.philosopherfoods.com,info@philosopherfoods.com
Promptiva Health Inc.  (CIK 0002129418),2129418,0002129418-26-000001,D,2026-04-24,,021-581701,Other Technology,650000.0,539700.0,[],https://www.linkedin.com/company/promptiva-health,https://www.promptivahealth.com/,
Neuro-Kinesis Corp  (CIK 0001814194),1814194,0001814194-26-000003,D,2026-04-24,,021-581815,Biotechnology,2000000.0,51000.0,[],,https://neuro-kinesis.com/,info@neuro-kinesis.com
KuliPay Inc.  (CIK 0002131644),2131644,0002131644-26-000001,D,2026-04-24,,021-581819,Other Technology,6358470.0,3358471.0,[],https://id.linkedin.com/company/kulipa-inc,https://www.kulipa.xyz,
"ThetaRho, Inc.  (CIK 0001991470)",1991470,0001991470-26-000001,D,2026-04-24,,021-545219,Computers,1500000.0,750000.0,[],,https://thetarho.ai,info@thetarho.ai
Flower and Twine LLC  (CIK 0002127883),2127883,0002127883-26-000001,D,2026-04-27,,020-37035,,50000.0,,[],,https://flowerandtwine.com/,hello@flowerandtwine.com
"HUSTLR, INC.  (CIK 0002082171)",2082171,0002082171-26-000001,D,2026-04-27,,020-36657,,50000.0,,[],,https://www.huslrworldwide.com,huslrwordwide@gmail.com
FeenX Inc  (CIK 0002118814),2118814,0002118814-26-000001,D,2026-04-27,,021-581953,Other Health Care,2000000.0,151500.0,[],https://www.linkedin.com/company/feenx-incorporated,,
"NK-One Therapeutics, Inc.  (CIK 0002127553)",2127553,0002127553-26-000001,D,2026-04-27,,021-581982,Biotechnology,310000.0,290000.0,[],,https://nk1thera.com/,
"COWBOY CLEAN FUELS, LLC  (CIK 0001904601)",1904601,0001904601-26-000001,D,2026-04-27,,021-560892,Other Energy,6012897.0,5977897.0,[],https://www.linkedin.com/company/cowboy-clean-fuels,https://cowboycleanfuels.com/,
"Adronite, Inc.  (CIK 0001978246)",1978246,0001978246-26-000002,D,2026-04-27,,021-581981,Other Technology,3400000.0,3400000.0,[],https://www.linkedin.com/company/adronite,http://www.adronite.com,
CGB Green Liberty Notes LLC  (CIK 0001896328),1896328,0001896328-26-000007,D,2026-04-27,,020-36988,,50000.0,,[],https://www.linkedin.com/company/cgb-green-liberty-notes-llc,https://www.greenlibertynotes.com,
"Covera Health, Inc.  (CIK 0001722373)",1722373,0001722373-26-000003,D,2026-04-27,,021-581975,Other Health Care,30777609.0,20000000.0,[],https://www.linkedin.com/company/covera-health,https://www.coverahealth.com,recruiting@coverahealth.com
"Eagle Cathedral City, LLC  (CIK 0002095531)",2095531,0002095531-26-000003,D,2026-04-27,,020-36580,,50000.0,,[],,https://www.eaglebarcc.com/,
Fureelz Inc.  (CIK 0002126177),2126177,0002126177-26-000001,D,2026-04-27,,020-37028,,150000.0,,[],https://www.linkedin.com/company/fureelz,https://fureelz.com/,partners@fureelz.com
"IntriEnergy, Inc.  (CIK 0001861448)",1861448,0001861448-26-000007,D,2026-04-27,,021-472962,Other Energy,8000000.0,488000.0,[],https://www.linkedin.com/company/intrienergy/,https://www.intrienergy.com,info@intrienergy.com
OpenWav Inc.  (CIK 0002131358),2131358,0002131358-26-000001,D,2026-04-27,,021-581931,Other Technology,6000000.0,2200000.0,[],https://www.linkedin.com/company/openwav,http://www.openwav.ai,info@openwav.ai
Totem Inc  (CIK 0002097979),2097979,0002097979-26-000001,D,2026-04-27,,020-36655,,50000.0,,[],https://www.linkedin.com/company/totemlabs,https://www.totemlabs.com,tribe@totemlabs.com
"Huxley Medical, Inc.  (CIK 0001869701)",1869701,0001869701-26-000002,D,2026-04-27,,021-581923,Other Health Care,3000000.0,2774482.0,[],https://www.linkedin.com/company/huxley-medical-inc,https://huxleymed.com/,info@huxleymed.com
Huajian Data Ltd  (CIK 0002105589),2105589,0002105589-26-000002,D,2026-04-27,,021-570209,Other Technology,5000000.0,0.0,[],,https://www.huajianal.com/,info@huajian-al.com
"Beauty Way, LLC  (CIK 0002130092)",2130092,0002130092-26-000001,D,2026-04-27,,021-581968,Retailing,175000.0,175000.0,[],https://www.linkedin.com/company/beauty-way,https://www.beautyway.biz,info@beautyway.biz
"Nuclein, LLC  (CIK 0001787352)",1787352,0001787352-26-000002,D,2026-04-27,,021-550329,Biotechnology,25000000.0,19065157.0,[],https://www.linkedin.com/company/nucleindx,https://www.nuclein.com/,info@nuclein.com
SKAI INNOVATIONS INC.  (CIK 0002130869),2130869,0002130869-26-000001,D,2026-04-27,,021-581879,Other Technology,600000.0,150000.0,[],https://www.linkedin.com/company/skai-innovations,https://jeshawinnovations.com,sales@jeshawinnovations.com
"Green Compass, LLC  (CIK 0002011653)",2011653,0002011653-26-000003,D,2026-04-27,,020-37026,,50000.0,,[],,https://www.greencompassllc.com,info@greencompassllc.com
Long Beach Mushrooms Corp.  (CIK 0002129220),2129220,0002129220-26-000001,D,2026-04-27,,020-37029,,75000.0,,[],,https://www.longbeachmushrooms.com/,longbeachmushrooms@gmail.com
xMentium Inc.  (CIK 0001807538),1807538,0001807538-26-000006,D,2026-04-27,,021-581958,Other Technology,3300000.0,2500000.0,[],https://www.linkedin.com/company/xmentium,https://xmentium.com/,
Rejuvenate Bio Inc  (CIK 0001859067),1859067,0001859067-26-000003,D,2026-04-28,,020-37037,,50000.0,,[],https://www.linkedin.com/company/rejuvenate-bio,https://rejuvenatebio.com,info@rejuvenatebio.com
"Marble, Inc.  (CIK 0002132009)",2132009,0002132009-26-000001,D,2026-04-28,,021-582044,Other Technology,19999916.0,14408702.0,[],https://www.linkedin.com/company/marble,https://marble.com,customerservice@marble.com
"Neopenda, PBC  (CIK 0001751635)",1751635,0001751635-26-000002,D,2026-04-28,,020-35789,,50000.0,,[],https://www.linkedin.com/company/neopenda,https://www.neopenda.com,info@neopenda.com
"ARBIS.AI, Inc.  (CIK 0002127452)",2127452,0002127452-26-000001,D,2026-04-28,,021-582052,Other Technology,1000000.0,380000.0,[],https://www.linkedin.com/company/arbis-ai-inc,https://www.arbis.ai/,info@arbis.ai
"Azure Printed Homes, Inc.  (CIK 0001930002)",1930002,0001930002-26-000008,D,2026-04-28,,020-36870,,50000.0,,[],https://www.linkedin.com/company/azure-printed-homes,https://www.azureprintedhomes.com,info@azureprintedhomes.com
Myosana Therapeutics Inc.  (CIK 0001955277),1955277,0001955277-26-000001,D,2026-04-28,,020-36574,,50000.0,,[],https://www.linkedin.com/company/myosana-therapeutics-inc,http://www.myosanatherapeutics.com,info@myosanatherapeutics.com
"ShowdMe, Inc.  (CIK 0002002331)",2002331,0002002331-26-000004,D,2026-04-28,,021-582079,Other Technology,1000000.0,1000000.0,[],https://www.linkedin.com/company/showd-me,https://www.showd.me,info@showd.me
"Tomorrows Laundry, Co.  (CIK 0002090998)",2090998,0002090998-26-000001,D,2026-04-28,,020-36702,,50000.0,,[],,https://www.tomorrowslaundry.co,info@tomorrowslaundry.co
ReelArt Media LLC  (CIK 0002129873),2129873,0002129873-26-000001,D,2026-04-28,,020-37038,,50000.0,,[],,https://www.reelartmedia.com/,info@reelartmedia.com
"Unsmudgeable, Inc.  (CIK 0002054776)",2054776,0002054776-26-000002,D,2026-04-28,,020-35696,,50000.0,,[],,https://www.unsmudgeable.com,
"Lungpacer Medical, Inc.  (CIK 0001708893)",1708893,0001708893-26-000002,D,2026-04-28,,021-582107,Other Health Care,20000000.0,12000000.0,[],https://www.linkedin.com/company/lungpacer-medical,https://lungpacer.com,info@lungpacer.com
"Toetal Solutions, Inc.  (CIK 0001888204)",1888204,0001888204-26-000001,D,2026-04-28,,021-582112,Other Health Care,100000.0,100000.0,[],https://www.linkedin.com/company/toetal-solutions/,https://toetal-solutions.com,
"Custodia AI, Inc  (CIK 0002131995)",2131995,0002131995-26-000001,D,2026-04-28,,021-582081,Other Technology,7201042.0,7201042.0,[],https://www.linkedin.com/company/custodia.ai,https://www.custodia.ai,info@custodia.ai
Care Access PBC  (CIK 0002079655),2079655,0002079655-26-000003,D,2026-04-28,,020-36561,,50000.0,,[],https://www.linkedin.com/company/careaccesspbc,https://careaccesspbc.com/,
REtokens USA Inc.  (CIK 0001993844),1993844,0001993844-26-000001,D,2026-04-28,,020-36693,,50000.0,,[],https://www.linkedin.com/company/retokens,https://retokens.com/,info@retokens.com
ArkHAUS Inc  (CIK 0001910977),1910977,0001910977-26-000004,D,2026-04-28,,020-36878,,50000.0,,[],https://www.linkedin.com/company/arkhausclub,https://arkhaus.club/,hello@arkhaus.club
Food Supply Security LLC  (CIK 0002117018),2117018,0002117018-26-000001,D,2026-04-28,,021-582124,Other Technology,1000000.0,1000000.0,[],https://www.linkedin.com/company/food-supply-inc-,https://www.foodsupply.com,info@foodsupply.com
"CHN Analytics, LLC  (CIK 0002069165)",2069165,0002069165-26-000001,D,2026-04-29,,021-582240,Other Technology,500000.0,50000.0,[],,https://chn.webflow.io/,
"Tibaray, Inc.  (CIK 0002064856)",2064856,0002064856-26-000002,D,2026-04-29,,020-36876,,50000.0,,[],,https://www.tibaray.com/,info@tibaray.com
"Cresilon, Inc.  (CIK 0001728054)",1728054,0001728054-26-000001,D,2026-04-29,,021-582305,Biotechnology,25000000.0,4997000.0,[],https://www.linkedin.com/company/cresilon,https://cresilon.com/,info@cresilon.com
"Savohub Technologies, Ltd  (CIK 0002132498)",2132498,0002132498-26-000001,D,2026-04-29,,021-582236,Other Technology,1000000.0,0.0,[],,https://savohub.com/,info@savohub.com
"SafeBets.world, Inc.  (CIK 0002132469)",2132469,0002132469-26-000001,D,2026-04-29,,021-582193,Other Technology,2500000.0,1143360.0,[],,https://safebets.world/,
